work_id,work_category,state,ida,mp_name_clean,constituency,elected_nominated,work_status,sanction_amount,total_expenditure,sanction_date,completion_date,has_sanction_record,has_completion_record,has_expenditure_record,data_source_flag,financial_utilization,expenditure_vs_sanction,n_expenditure_transactions,n_distinct_vendors,n_payment_success,n_payment_inprogress,mp_allocated_limit,project_size_bucket,elapsed_duration_days,project_duration_days,risk_score,risk_level,financial_risk_score,payment_risk_score,execution_risk_score,peer_anomaly_score,isolation_forest_score,duplicate_risk_score,anomaly_risk_score,n_components_available,negative_amount_score,vendor_concentration_score,rapid_disbursement_score,slow_disbursement_pace_score,payment_stall_score,expenditure_without_sanction_score,elapsed_percentile_in_peer_group,peer_group_tier,raw_max_similarity,most_similar_work_id,risk_reason_1,risk_reason_2,risk_reason_3
WS/MP001/2023-2024/103702,Normal/Others,Bihar,SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA),SHAMBHU SHARAN PATEL,,Elected MP,Physical Inspection,1499281.0,0.0,2024-03-16,2024-07-19,True,True,False,sanctioned+completed,0.0,-1.0,,,,,237168443.49,very_large,,125.0,7.75,LOW,0.0,,,25.02,14.64,5.15,19.83,3,0.0,,,,,,,category+state+size,0.1716,WS/MP001/2024-2025/145755,,,
WS/MP001/2023-2024/1215,Normal/Others,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),SHAMBHU SHARAN PATEL,,Elected MP,Work Completed,1484933.0,0.0,2023-08-12,2023-09-23,True,True,False,sanctioned+completed,0.0,-1.0,,,,,237168443.49,very_large,,42.0,9.61,LOW,0.0,,,23.86,20.97,,22.415,2,0.0,,,,,,,category+state+size,,,,,
WS/MP001/2023-2024/1216,Normal/Others,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),SHAMBHU SHARAN PATEL,,Elected MP,Work Completed,1486089.0,0.0,2023-08-12,2023-09-23,True,True,False,sanctioned+completed,0.0,-1.0,,,,,237168443.49,very_large,,42.0,9.66,LOW,0.0,,,23.96,21.13,,22.545,2,0.0,,,,,,,category+state+size,,,,,
WS/MP001/2023-2024/121691,Normal/Others,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),SHAMBHU SHARAN PATEL,,Elected MP,Physical Inspection,460800.0,0.0,2024-03-15,2024-05-21,True,True,False,sanctioned+completed,0.0,-1.0,,,,,237168443.49,large,,67.0,9.45,LOW,0.0,,,33.94,10.72,9.03,22.33,3,0.0,,,,,,,category+state+size,0.3011,WS/MP001/2024-2025/133645,,,
WS/MP001/2023-2024/1217,Normal/Others,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),SHAMBHU SHARAN PATEL,,Elected MP,Work Completed,1484550.0,0.0,2023-08-12,2023-09-23,True,True,False,sanctioned+completed,0.0,-1.0,,,,,237168443.49,very_large,,42.0,9.6,LOW,0.0,,,23.83,20.97,,22.4,2,0.0,,,,,,,category+state+size,,,,,
WS/MP001/2023-2024/1218,Normal/Others,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),SHAMBHU SHARAN PATEL,,Elected MP,Physical Inspection,1484940.0,0.0,2023-08-12,2024-03-03,True,True,False,sanctioned+completed,0.0,-1.0,,,,,237168443.49,very_large,,204.0,7.48,LOW,0.0,,,23.86,11.06,,17.46,2,0.0,,,,,,,category+state+size,,,,,
WS/MP001/2023-2024/12725,Normal/Others,Bihar,SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA),SHAMBHU SHARAN PATEL,,Elected MP,Physical Inspection,999553.0,0.0,2023-10-06,2023-12-29,True,True,False,sanctioned+completed,0.0,-1.0,,,,,237168443.49,very_large,,84.0,13.82,LOW,0.0,,,30.26,12.87,29.86,21.565,3,0.0,,,,,,,category+state+size,0.63,WS/MP001/2023-2024/12726,,,
WS/MP001/2023-2024/12726,Normal/Others,Bihar,SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA),SHAMBHU SHARAN PATEL,,Elected MP,Physical Inspection,799941.0,0.0,2023-10-06,2023-12-29,True,True,False,sanctioned+completed,0.0,-1.0,,,,,237168443.49,large,,84.0,30.45,LOW,0.0,,,37.53,11.81,100.0,24.67,3,0.0,,,,,,,category+state+size,1.0,WS/MP001/2023-2024/12727,,,
WS/MP001/2023-2024/12727,Normal/Others,Bihar,SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA),SHAMBHU SHARAN PATEL,,Elected MP,Physical Inspection,599962.0,0.0,2023-10-06,2023-12-29,True,True,False,sanctioned+completed,0.0,-1.0,,,,,237168443.49,large,,84.0,24.26,LOW,0.0,,,1.36,10.89,100.0,6.125,3,0.0,,,,,,,category+state+size,1.0,WS/MP001/2023-2024/12726,,,
WS/MP001/2023-2024/12794,Normal/Others,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),SHAMBHU SHARAN PATEL,,Elected MP,Physical Inspection,1484400.0,0.0,2023-09-12,2024-03-03,True,True,False,sanctioned+completed,0.0,-1.0,,,,,237168443.49,very_large,,173.0,28.05,LOW,0.0,,,23.82,11.13,100.0,17.475,3,0.0,,,,,,,category+state+size,1.0,WS/MP001/2023-2024/12795,,,
