work_id,houses,state,district,constituency,mp,elected_nominated,mp_type,resolved_constituency,constituency_resolution_source,constituency_resolution_confidence,constituency_candidates
WS/MP1/2023-2024/103702,"LS,RS",Bihar,SAMASTIPUR,Sitting Rajya Sabha,Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,Rajya Sabha,SAMASTIPUR(SC),WORK_DESCRIPTION_PC_MATCH,MEDIUM,SAMASTIPUR(SC) | UJJARPUR
WS/MP1/2023-2024/1215,"LS,RS",Bihar,PATNA,Sitting Rajya Sabha,Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,Rajya Sabha,PATNA SAHIB,DISTRICT_UNIQUE_PC,MEDIUM,PATNA SAHIB
WS/MP1/2023-2024/1216,"LS,RS",Bihar,PATNA,Sitting Rajya Sabha,Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,Rajya Sabha,PATNA SAHIB,DISTRICT_UNIQUE_PC,MEDIUM,PATNA SAHIB
WS/MP1/2023-2024/121691,"LS,RS",Bihar,PATNA,Sitting Rajya Sabha,Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,Rajya Sabha,PATNA SAHIB,DISTRICT_UNIQUE_PC,MEDIUM,PATNA SAHIB
WS/MP1/2023-2024/1217,"LS,RS",Bihar,PATNA,Sitting Rajya Sabha,Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,Rajya Sabha,PATNA SAHIB,DISTRICT_UNIQUE_PC,MEDIUM,PATNA SAHIB
WS/MP1/2023-2024/1218,"LS,RS",Bihar,PATNA,Sitting Rajya Sabha,Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,Rajya Sabha,PATNA SAHIB,DISTRICT_UNIQUE_PC,MEDIUM,PATNA SAHIB
WS/MP1/2023-2024/12725,"LS,RS",Bihar,SHEIKHPURA,Sitting Rajya Sabha,Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,Rajya Sabha,,UNRESOLVED_AMBIGUOUS_DISTRICT,UNRESOLVED,JAMUI(SC) | NAWADA
WS/MP1/2023-2024/12726,"LS,RS",Bihar,SHEIKHPURA,Sitting Rajya Sabha,Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,Rajya Sabha,,UNRESOLVED_AMBIGUOUS_DISTRICT,UNRESOLVED,JAMUI(SC) | NAWADA
WS/MP1/2023-2024/12727,"LS,RS",Bihar,SHEIKHPURA,Sitting Rajya Sabha,Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,Rajya Sabha,,UNRESOLVED_AMBIGUOUS_DISTRICT,UNRESOLVED,JAMUI(SC) | NAWADA
WS/MP1/2023-2024/12794,"LS,RS",Bihar,PATNA,Sitting Rajya Sabha,Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,Rajya Sabha,PATNA SAHIB,DISTRICT_UNIQUE_PC,MEDIUM,PATNA SAHIB
WS/MP1/2023-2024/12795,"LS,RS",Bihar,PATNA,Sitting Rajya Sabha,Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,Rajya Sabha,PATNA SAHIB,DISTRICT_UNIQUE_PC,MEDIUM,PATNA SAHIB
WS/MP1/2023-2024/12796,"LS,RS",Bihar,PATNA,Sitting Rajya Sabha,Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,Rajya Sabha,PATNA SAHIB,DISTRICT_UNIQUE_PC,MEDIUM,PATNA SAHIB
WS/MP1/2023-2024/12797,"LS,RS",Bihar,PATNA,Sitting Rajya Sabha,Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,Rajya Sabha,PATNA SAHIB,DISTRICT_UNIQUE_PC,MEDIUM,PATNA SAHIB
