sr_no,state,mp,constituency,allocated_amount,work_id_canonical,work_id_status,house,source_file,elected_nominated
1,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,HINGOLI,190289442.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
2,Jammu And Kashmir,ABDUL RASHID SHEIKH,BARAMULLAH,154773472.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
3,Bihar,ABHAY KUMAR SINHA,AURANGABAD_BR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
4,West Bengal,ABHIJIT GANGOPADHYAY,TAMLUK,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
5,West Bengal,Abu Taher Khan,MURSHIDABAD,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
6,West Bengal,ADHIKARI SOUMENDU,KANTHI,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
7,Uttar Pradesh,ADITYA YADAV,BADAUN,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
8,Kerala,Adv Adoor Prakash,ATTINGAL,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
9,Kerala,Adv Dean Kuriakose,IDUKKI,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
10,Maharashtra,ADV GOWAAL KAGADA PADAVI,NANDURBAR(ST),147816309.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
11,Kerala,ADV K FRANCIS GEORGE,KOTTAYAM,188722256.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
12,Uttar Pradesh,AFZAL ANSARI,GHAZIPUR,220500000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
13,Jammu And Kashmir,AGA SYED RUHULLAH MEHDI,SRINAGAR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
14,Uttarakhand,Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
15,Bihar,Ajay Kumar Mandal,BHAGALPUR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
16,Uttarakhand,Ajay Tamta,ALMORA(SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
17,Uttar Pradesh,AJENDRA SINGH LODHI,HAMIRPUR_UP,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
18,Uttar Pradesh,AKHILESH YADAV,KANNAUJ,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
19,Uttar Pradesh,AKSHAYA YADAV,FIROZABAD,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
20,Manipur,ALFRED KANNGAM S ARTHUR,OUTER MANIPUR(ST),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
21,Bihar,Alok Kumar Suman,GOPALGANJ (SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
22,Madhya Pradesh,ALOK SHARMA,BHOPAL,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
23,Maharashtra,AMAR SHARADRAO KALE,WARDHA,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
