work_id,dataset_count,datasets
WS/MP620/2024-2025/133166,3,LS_completed|LS_recommended|RS_sanctioned
WS/MP620/2025-2026/133167,2,LS_recommended|RS_sanctioned
WS/MP620/2024-2025/133190,2,LS_recommended|RS_sanctioned
WS/MP620/2025-2026/133191,2,LS_recommended|RS_sanctioned
WS/MP620/2024-2025/133301,3,LS_completed|LS_recommended|RS_sanctioned
WS/MP620/2024-2025/133303,3,LS_completed|LS_recommended|RS_sanctioned
WS/MP620/2024-2025/133304,2,LS_recommended|RS_sanctioned
WS/MP620/2025-2026/133305,2,LS_recommended|RS_sanctioned
WS/MP620/2024-2025/133306,3,LS_completed|LS_recommended|RS_sanctioned
WS/MP620/2024-2025/133307,3,LS_completed|LS_recommended|RS_sanctioned
WS/MP620/2024-2025/133308,3,LS_completed|LS_recommended|RS_sanctioned
WS/MP620/2024-2025/133309,2,LS_recommended|RS_sanctioned
WS/MP620/2024-2025/133310,3,LS_completed|LS_recommended|RS_sanctioned
WS/MP620/2024-2025/133311,2,LS_recommended|RS_sanctioned
WS/MP620/2024-2025/133312,3,LS_completed|LS_recommended|RS_sanctioned
WS/MP418/2024-2025/133409,3,LS_completed|LS_recommended|RS_sanctioned
WS/MP498/2024-2025/133447,3,LS_completed|LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133549,2,LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133550,2,LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133551,2,LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133552,2,LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133553,2,LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133554,2,LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133556,2,LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133557,2,LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133558,2,LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133559,2,LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133560,2,LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133561,2,LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133562,2,LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133563,3,LS_expenditure|LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133564,2,LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133565,2,LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133566,2,LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133567,2,LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133568,2,LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133569,2,LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133570,2,LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133571,2,LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133572,2,LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133573,2,LS_recommended|RS_sanctioned
WS/MP577/2025-2026/133574,2,LS_recommended|RS_sanctioned
